Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
HDO	Water	975.14259710, 975.14259710	9(2,7)-10(1,10)	-3.77260		769.1166	1106.5809	JPL
H2Ov2,2v2,v1,v3	Water	975.18766030, 975.18766030	19(8,11),v2=1-18(3,16),v2=2	-19.30520		7193.9662	10350.5264	JPL
H2Ov2,2v2,v1,v3	Water	975.20860110, 975.20860110	12(8,4),v2=2-13(4,9),v3=1	-18.50300		6256.0208	9001.0304	JPL
D2O	Water	978.24805990, 978.24805990	18(12,7)-17(13,4)	-8.35410		3278.4460	4716.9254	CDMS
D2O	Water	978.24826550, 978.24826550	18(12,6)-17(13,5)	-8.05310		3278.4460	4716.9254	CDMS
D2O	Water	978.24865140, 978.24865140	18(12,7)-17(13,4)	-8.34860		3278.4460	4716.9254	CDMS
D2O	Water	978.24885720, 978.24885720	18(12,6)-17(13,5)	-8.04750		3278.4460	4716.9254	CDMS
H2Ov2,2v2,v1,v3	Water	978.52186760, 978.52186760	12(9,3),v1=1-13(8,6),v2=2	-16.26140		6602.4685	9499.4920	JPL
H2Ov2,2v2,v1,v3	Water	978.75232480, 978.75232480	12(9,4),v1=1-13(8,5),v2=2	-15.78890		6602.4604	9499.4803	JPL
H2Ov2,2v2,v1,v3	Water	978.77429600, 978.77429600	2(0,2),v1=1-1(1,1),v1=1	-8.74740		3693.2936	5313.8327	JPL
H2Ov2,2v2,v1,v3	Water	979.55430320, 979.55430320	13(10,4),v2=2-12(11,1),v2=2	-16.63140		7166.4401	10310.9224	JPL
H2Ov2,2v2,v1,v3	Water	979.55603120, 979.55603120	13(10,3),v2=2-12(11,2),v2=2	-16.15430		7166.4401	10310.9224	JPL
HDO	Water	980.74322000, 980.74322000	9(2,7)-10(0,10)	-5.43090		768.9298	1106.3121	JPL
HDO	Water	980.99927100, 980.99927100	14(6,9)-13(7,6)	-5.35760		2142.8433	3083.0558	JPL
H2Ov2,2v2,v1,v3	Water	981.21128600, 981.21128600	18(9,9),v2=1-17(1,16),v3=1	-19.55400		6992.7614	10061.0372	JPL
H2Ov2,2v2,v1,v3	Water	981.36753590, 981.36753590	22(3,20),v2=2-21(3,19),v3=1	-19.61920		8832.4761	12707.9798	JPL
H2Ov2,2v2,v1,v3	Water	983.15556920, 983.15556920	16(8,9),v1=1-17(5,12),v1=1	-17.96480		7758.3969	11162.6173	JPL
H2Ov2,2v2,v1,v3	Water	983.93477190, 983.93477190	17(4,13),v3=1-16(8,8),v2=2	-18.49550		7676.1599	11044.2965	JPL
HDO	Water	984.13782800, 984.13782800	4(1,3)-4(0,4)	-0.76170		150.1562	216.0400	JPL
H2Ov2,2v2,v1,v3	Water	985.01550100, 985.01550100	10(2,9),v3=1-9(6,4),v2=2	-13.45910		4994.7026	7186.2724	JPL
H2Ov2,2v2,v1,v3	Water	986.91394070, 986.91394070	8(7,1),v2=2-8(5,4),v3=1	-14.60890		4976.0433	7159.4258	JPL
H2Ov=0	Water	987.92675900, 987.92675900	2(0,2)-1(1,1)	-1.13740		37.1371	53.4321	JPL
H2Ov2,2v2,v1,v3	Water	988.41446100, 988.41446100	5(4,2),v1=1-4(4,1),v3=1	-10.90890		4224.8167	6078.5769	JPL
H218Ov=0	Water	989.00439670, 989.00439670	9(5,5)-10(2,8)	-5.22700		1433.0290	2061.7972	JPL
H2Ov2,2v2,v1,v3	Water	990.78230390, 990.78230390	13(8,5),v2=2-14(13,2),v2=1	-18.98160		6569.4115	9451.9303	JPL
H2Ov2,2v2,v1,v3	Water	991.02395700, 991.02395700	13(8,6),v2=2-14(13,1),v2=1	-19.46180		6569.4115	9451.9303	JPL
H2Ov2,2v2,v1,v3	Water	991.61647220, 991.61647220	9(7,3),v2=2-9(5,4),v3=1	-14.72540		5196.5005	7476.6150	JPL
D2O	Water	992.06389650, 992.06389650	18(8,11)-19(5,14)	-7.83170		2637.2864	3794.4450	CDMS
D2O	Water	992.06443160, 992.06443160	18(8,11)-19(5,14)	-7.82710		2637.2864	3794.4450	CDMS
H2Ov2,2v2,v1,v3	Water	994.44696000, 994.44696000	13(5,9),v1=1-14(2,12),v1=1	-14.81320		6161.1322	8864.5067	JPL
H218Ov=0	Water	994.67512910, 994.67512910	2(0,2)-1(1,1)	-1.12670		36.7487	52.8729	JPL
H218Ov=0	Water	995.28067640, 995.28067640	10(8,3)-9(9,0)	-6.22810		2200.4038	3165.8720	JPL
H218Ov=0	Water	995.30610810, 995.30610810	10(8,2)-9(9,1)	-6.70520		2200.4038	3165.8720	JPL
HDO	Water	995.41150100, 995.41150100	3(0,3)-2(1,2)	-0.86970		58.1269	83.6312	JPL
H2Ov2,2v2,v1,v3	Water	996.14566170, 996.14566170	18(1,18),v3=1-19(7,13),v2=1	-19.43570		6990.0536	10057.1412	JPL
H2Ov2,2v2,v1,v3	Water	996.71980090, 996.71980090	15(3,13),v2=2-15(10,6),v2=1	-18.78050		6082.4101	8751.2430	JPL
H2Ov2,2v2,v1,v3	Water	997.65562400, 997.65562400	5(2,4),v1=1-4(3,1),v1=1	-9.90850		4031.8535	5800.9455	JPL
H2Ov2,2v2,v1,v3	Water	997.66370390, 997.66370390	9(5,5),v2=2-10(0,10),v1=1	-18.58780		4750.3623	6834.7208	JPL
